rp;tn;begin;end
70;602912;01.07.2017;31.12.9999
70;602918;01.02.2012;31.12.9999
70;602920;23.03.2016;31.12.9999
70;602920;23.11.2020;31.12.9999
70;602922;03.08.2009;31.12.9999
70;602925;01.01.2013;31.12.9999
70;602925;20.10.2014;31.12.9999
70;602925;01.03.2020;31.12.9999
70;602929;01.12.2011;31.12.9999
70;602929;01.07.2014;31.12.9999
70;602929;05.10.2015;31.12.9999
70;602932;01.01.2013;01.01.9999
70;602932;01.01.2013;31.12.9999
70;602933;27.10.2008;31.12.9999
70;602933;01.04.2019;31.12.9999
70;602935;01.01.2019;31.12.9999
70;602936;01.03.2010;31.12.9999
70;602937;01.07.2014;31.12.9999
70;602937;01.04.2019;31.12.9999
70;602941;18.03.2014;31.12.9999
70;602941;16.04.2019;31.12.9999
70;602944;01.01.2013;31.12.9999
70;602944;01.03.2020;31.12.9999
70;602945;18.10.2004;31.12.9999
70;602948;14.05.2013;31.12.9999
70;602949;10.08.2012;31.12.9999
70;602949;01.05.2017;31.12.9999
70;602950;06.11.2013;31.12.9999
70;602953;01.07.2014;31.12.9999
70;602953;01.04.2019;31.12.9999
70;602954;25.07.2011;31.12.9999
70;602954;01.03.2012;31.12.9999
70;602955;25.01.2013;31.12.9999
70;602956;24.05.1990;31.12.9999
70;602957;01.10.2014;31.12.9999
70;602957;01.04.2019;31.12.9999
70;602957;22.07.2019;31.12.9999
70;602963;16.05.2012;31.12.9999
70;602966;11.01.2009;31.12.9999
70;602966;28.05.2013;31.12.9999
70;602969;01.07.2014;31.12.9999
70;602969;13.11.2017;31.12.9999
70;602969;01.04.2019;31.12.9999
70;602971;01.07.2014;31.12.9999
70;602971;17.09.2018;31.12.9999
70;602971;01.04.2019;31.12.9999
70;602972;04.10.2005;31.12.9999
70;602974;29.10.2010;31.12.9999
70;602974;21.09.2020;31.12.9999
70;602976;10.10.2008;31.12.9999
70;602976;14.06.2016;31.12.9999
70;602976;01.04.2019;31.12.9999
70;602978;03.06.2013;31.12.9999
70;602978;01.01.2015;31.12.9999
70;602978;17.11.2016;31.12.9999
70;602978;01.04.2019;31.12.9999
70;602979;26.11.2002;31.12.9999
70;602981;04.05.2011;31.12.9999
70;602983;16.02.2009;31.12.9999
70;602983;02.11.2009;31.12.9999
70;602983;21.09.2020;31.12.9999
70;602985;01.01.2012;31.12.9999
70;602985;01.04.2014;31.12.9999
70;602985;01.07.2014;31.12.9999
70;602986;16.12.1988;31.12.9999
70;602987;01.01.2013;31.12.9999
70;602987;14.04.2017;31.12.9999
70;602987;10.02.2020;31.12.9999
70;602988;16.01.2017;31.12.9999
70;602988;01.04.2019;31.12.9999
70;602989;09.04.2003;31.12.9999
70;602992;09.08.2012;31.12.9999
70;602992;12.02.2014;31.12.9999
70;602992;26.05.2014;31.12.9999
70;602995;14.09.2006;31.12.9999
70;602996;10.10.2008;31.12.9999
70;602997;10.10.2013;31.12.9999
70;602999;11.01.2011;31.12.9999
70;602999;01.01.2017;31.12.9999
70;602999;07.09.2018;31.12.9999
70;602999;24.09.2018;31.12.9999
70;602999;01.04.2019;31.12.9999
70;603001;22.10.2018;18.05.2200
70;603002;01.04.2016;31.12.9999
70;603003;07.11.2018;31.12.9999
70;603005;02.01.2010;31.12.9999
70;603006;14.10.2013;31.12.9999
70;603006;14.10.2014;31.12.9999
70;603008;17.05.2012;31.12.9999
70;603008;01.04.2019;31.12.9999
70;603009;01.07.2014;31.12.9999
70;603009;01.04.2019;31.12.9999
70;603010;25.09.2017;31.12.9999
70;603010;01.05.2018;31.12.9999
70;603012;01.10.2004;31.12.9999
70;603013;18.06.2014;31.12.9999
70;603014;05.05.1998;31.12.9999
70;603024;01.02.2012;31.12.9999
70;603024;01.07.2014;31.12.9999
70;603024;01.01.2017;31.12.9999
70;603027;22.10.2011;31.12.9999
70;603027;24.06.2016;31.12.9999
70;603028;03.12.2017;31.12.9999
70;603028;01.01.2019;31.12.9999
70;603031;01.07.2014;31.12.9999
70;603031;01.04.2019;31.12.9999
70;603034;02.11.2004;31.12.9999
70;603036;01.01.2016;31.12.9999
70;603037;23.03.2020;31.12.9999
70;603038;01.06.2020;31.12.9999
70;603041;01.07.2014;31.12.9999
70;603041;04.12.2015;31.12.9999
70;603041;06.10.2016;31.12.9999
70;603041;01.01.2020;31.12.9999
70;603042;17.12.2012;31.12.9999
70;603043;26.05.2011;31.12.9999
70;603043;18.12.2014;31.12.9999
70;603047;17.10.1996;31.12.9999
70;603047;01.01.2016;31.12.9999
70;603047;01.01.2019;31.12.9999
70;603048;01.11.2013;31.12.9999
70;603048;08.07.2014;31.12.9999
70;603048;19.09.2016;31.12.9999
70;603048;22.10.2020;31.12.9999
70;603049;01.01.2010;31.12.9999
70;603049;02.03.2010;31.12.9999
70;603051;11.03.2013;31.12.9999
70;603051;01.07.2014;31.12.9999
70;603051;01.01.2020;31.12.9999
70;603053;01.04.2012;31.12.9999
70;603053;01.07.2014;31.12.9999
70;603053;01.04.2015;31.12.9999
70;603055;05.07.2011;31.12.9999
70;603057;01.01.2016;31.12.9999
70;603059;20.04.2018;31.12.9999
70;603062;01.01.2010;31.12.9999
70;603062;05.06.2013;31.12.9999
70;603064;18.11.2013;31.12.9999
70;603064;01.01.2020;31.12.9999
70;603069;26.12.2001;31.12.9999
70;603069;01.01.2010;31.12.9999
70;603069;26.12.2011;31.12.9999
70;603070;16.05.2011;31.12.9999
70;603070;28.03.2018;31.12.9999
70;603071;01.01.2010;31.12.9999
70;603071;21.03.2016;31.12.9999
70;603072;17.08.2011;31.12.9999
70;603072;01.01.2017;31.12.9999
70;603072;09.01.2019;31.12.9999
